Beat,Ward,Community Area,Day_sin,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Day Time_Afternoon,Day Time_Early Morning,Day Time_Morning,Day Time_Night,Domestic_tag,IUCR_freq,Primary_Type_freq,Location_Description_freq,FBI_Code_freq,Crime_District_freq,Nearest_Police_Station_District_freq,Nearest_Police_Station_District_Name_freq,X Coordinate_standardized,Y Coordinate_standardized,Latitude_standardized,Longitude_standardized,Distance Crime To Police Station_standardized,Arrest_tag
1135,28,27,-0.9749279121818236,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0588434797354587,0.0913774700994523,0.015825594270267,0.0762650999012459,0.0531476623208211,0.0565442049297249,0.0565442049297249,-0.4317888308205671,0.307976738585188,0.3091885219052532,-0.7089899449031721,-1.0547789273403063,0
1225,28,28,0.4338837391175582,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0748835399854362,0.2280521501461361,0.2733992359026025,0.2310895869285479,0.0624594759049965,0.0565442049297249,0.0565442049297249,-0.2524814166664935,0.3067111959765528,0.3072367758657643,-0.7089899449031721,0.0806221454493698,0
915,11,34,0.4338837391175582,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0080300052868357,0.1797075282546459,0.2733992359026025,0.0320452074334906,0.0438707618031102,0.0227483565920857,0.0227483565920857,0.5961909986571733,-0.2509185159533725,-0.2526372145006385,0.8855476896091663,-0.7899078242455814,0
825,16,66,-0.9749279121818236,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0045835868686969,0.0620105936218815,0.1214376203253897,0.0060449480792825,0.067287454238945,0.0663348262825564,0.0663348262825564,-0.3804700249808047,-0.7305275260609321,-0.7273471947279649,-0.7745580100538958,-0.2567448278137817,0
711,20,68,-0.7818314824680299,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0083841235324043,0.031022753344173,0.0144440343544574,0.0317958283873155,0.0422248600983551,0.042204909774661,0.042204909774661,0.567385851629326,-0.7493208337991661,-0.7498773175450908,0.1573243452940748,0.3252340551341485,0
2515,36,19,-0.433883739117558,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0012917834591866,0.0019750820457061,0.2733992359026025,0.0762650999012459,0.0517062514339295,0.0503945176510488,0.0503945176510488,-1.6783670351734494,0.8313102458210969,0.8359059557801046,-1.876083401787625,-3.246975573280343,0
131,3,33,-0.9749279121818236,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0748835399854362,0.2280521501461361,0.0144440343544574,0.2310895869285479,0.0557860926293529,0.0349978553402028,0.0349978553402028,0.7051200985526306,0.0450919002064221,0.0422957449847083,0.8086142911600769,-1.155957115402262,0
934,20,61,-2.4492935982947064e-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0010424044130116,0.0026085048229907,0.2733992359026025,0.0063791160011571,0.0438707618031102,0.0432423266067492,0.0432423266067492,0.24318916473775,-0.5288949499401143,-0.528583833352085,0.7463808703116109,0.2866927847314499,0
413,8,48,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0712974693014394,0.2280521501461361,0.0340153018982733,0.2310895869285479,0.0537960478408762,0.0333968418637592,0.0333968418637592,1.4253104555058345,-1.3141641385983127,-1.3172292905191068,1.954743852450942,0.9790251796778602,0
421,7,43,-0.433883739117558,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0475665592674241,0.1117317878482578,0.1925355863898891,0.1117317878482578,0.0537960478408762,0.0944747578529461,0.0944747578529461,1.9732867428621437,-1.0363142588724343,-1.042452741318594,1.228325543638219,1.6366599143869656,0
825,16,66,0.4338837391175582,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0.0012917834591866,0.0019750820457061,0.1925355863898891,0.0762650999012459,0.067287454238945,0.0663348262825564,0.0663348262825564,-0.2986189969166645,-0.7269523681915374,-0.7240929960391618,-0.7745580100538958,0.1400471812816308,0
1412,35,22,0.4338837391175582,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0020149826930941,0.1117317878482578,0.0353569611666949,0.1117317878482578,0.0383744476254127,0.0592973495994972,0.0592973495994972,-0.6676579576610135,0.9483412985546456,0.9491010245732002,-0.5528958433558775,-0.5063581671962432,0
