Beat,Ward,Community Area,X Coordinate,Y Coordinate,Latitude,Longitude,Distance Crime To Police Station,Day_sin,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Day Time_Afternoon,Day Time_Early Morning,Day Time_Morning,Day Time_Night,Domestic_tag,IUCR_freq,Primary_Type_freq,Location_Description_freq,FBI_Code_freq,Crime_District_freq,Nearest_Police_Station_District_freq,Nearest_Police_Station_District_Name_freq,Arrest_tag
1831,42,8,1174539.0,1903858.0,41.891583724,-87.64335214,7.3078314266299325,-0.433883739117558,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9.47640375465092e-05,0.0620105936218815,0.0101447395983999,0.0555915769733363,0.0508783130006284,0.0895719658051451,0.0895719658051451,0
215,3,38,1177012.0,1875695.0,41.81424687,-87.63056018,7.264488860105647,0.4338837391175582,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0039002882821773,0.1797075282546459,0.1925355863898891,0.0320452074334906,0.0506239463735299,0.0432423266067492,0.0432423266067492,0
433,10,55,1199760.0,1817775.0,41.654766107,-87.56834912,8.736384500678408,-0.9749279121818236,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0748835399854362,0.2280521501461361,0.0066384702091791,0.2310895869285479,0.0537960478408762,0.0333968418637592,0.0333968418637592,0
2234,21,75,1169370.0,1831490.0,41.693111583,-87.66852039,7.001947066880666,-0.433883739117558,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0091172979281588,0.0357459924787279,0.1214376203253897,0.0357459924787279,0.0311075422198725,0.0273269558798591,0.0273269558798591,0
121,42,28,1172706.0,1901066.0,41.883963076,-87.64335214,7.672920618558499,-0.433883739117558,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0100449879799299,0.0620105936218815,0.2733992359026025,0.0555915769733363,0.0557860926293529,0.0895719658051451,0.0895719658051451,0
2222,21,73,1169229.0,1845418.0,41.731335204,-87.64422891,7.823579495788866,-0.433883739117558,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0599656854432463,0.1117317878482578,0.2733992359026025,0.1117317878482578,0.0311075422198725,0.057242466259015,0.057242466259015,0
212,4,36,1181368.0,1881512.0,41.830109681,-87.62339535,7.012905723418852,-0.9749279121818236,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0628185817314885,0.0854671867051043,0.1214376203253897,0.0854671867051043,0.0506239463735299,0.0227483565920857,0.0227483565920857,0
1413,35,22,1154647.0,1915446.0,41.92380359,-87.69745182,6.760047045999684,0.9749279121818236,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0090674221189238,0.2280521501461361,0.0236560963201627,0.2310895869285479,0.0383744476254127,0.0592973495994972,0.0592973495994972,0
1655,41,76,1104700.0,1933741.0,41.974861952,-87.76614884,9.239649153179716,0.7818314824680298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0623098484772915,0.1797075282546459,0.000209478398787,0.1492034833265169,0.0353868866522359,0.0275364342786461,0.0275364342786461,0
2423,49,1,1166605.0,1946937.0,42.009968018,-87.67132429,7.212846157135236,0.7818314824680298,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0799658849464832,0.1797075282546459,0.1925355863898891,0.1492034833265169,0.0338706620514917,0.0386437769952817,0.0386437769952817,0
2522,26,20,1146353.0,1914501.0,41.921372562,-87.76557448,7.755532458501314,-0.7818314824680299,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0623098484772915,0.1797075282546459,0.1214376203253897,0.1492034833265169,0.0517062514339295,0.0503945176510488,0.0503945176510488,0
314,20,42,1186611.0,1863740.0,41.781219313,-87.60574786,7.616679398470543,0.4338837391175582,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0475665592674241,0.1117317878482578,0.1925355863898891,0.1117317878482578,0.051571586748995,0.0944747578529461,0.0944747578529461,0
